Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Baseline
165,-86.94377664,40.43761876,173.421,,-86.94377664,40.43761876,173.421,,,,,2.134,FIX,2021-06-01 12:09:49.4 UTC-04:00,2021-06-01 12:09:49.4 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2701.968
166,-86.94383481,40.43757719,173.338,,-86.94383481,40.43757719,173.338,,,,,2.134,FIX,2021-06-01 12:10:11.1 UTC-04:00,2021-06-01 12:10:11.1 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2708.542
167,-86.94387742,40.43754785,173.297,,-86.94387742,40.43754785,173.297,,,,,2.134,FIX,2021-06-01 12:10:26.0 UTC-04:00,2021-06-01 12:10:26.0 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2713.256
168,-86.94392262,40.43751631,173.245,,-86.94392262,40.43751631,173.245,,,,,2.134,FIX,2021-06-01 12:10:56.5 UTC-04:00,2021-06-01 12:10:56.5 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2718.294
169,-86.94394580,40.43750217,173.186,,-86.94394580,40.43750217,173.186,,,,,2.134,FIX,2021-06-01 12:11:17.2 UTC-04:00,2021-06-01 12:11:17.2 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2720.691
170,-86.94396466,40.43749367,173.206,,-86.94396466,40.43749367,173.206,,,,,2.134,FIX,2021-06-01 12:11:31.3 UTC-04:00,2021-06-01 12:11:31.3 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2722.363
171,-86.94398290,40.43748907,173.200,,-86.94398290,40.43748907,173.200,,,,,2.134,FIX,2021-06-01 12:11:49.4 UTC-04:00,2021-06-01 12:11:49.4 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2723.646
172,-86.94400600,40.43748735,173.244,,-86.94400600,40.43748735,173.244,,,,,2.134,FIX,2021-06-01 12:12:01.2 UTC-04:00,2021-06-01 12:12:01.2 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2724.890
173,-86.94402985,40.43748809,173.278,,-86.94402985,40.43748809,173.278,,,,,2.134,FIX,2021-06-01 12:12:12.8 UTC-04:00,2021-06-01 12:12:12.8 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2725.944
174,-86.94405231,40.43749249,173.267,,-86.94405231,40.43749249,173.267,,,,,2.134,FIX,2021-06-01 12:12:25.1 UTC-04:00,2021-06-01 12:12:25.1 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2726.596
175,-86.94407271,40.43749812,173.291,,-86.94407271,40.43749812,173.291,,,,,2.134,FIX,2021-06-01 12:12:46.9 UTC-04:00,2021-06-01 12:12:46.9 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2727.038
176,-86.94409464,40.43750663,173.286,,-86.94409464,40.43750663,173.286,,,,,2.134,FIX,2021-06-01 12:13:04.5 UTC-04:00,2021-06-01 12:13:04.5 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2727.288
177,-86.94417778,40.43754358,173.241,,-86.94417778,40.43754358,173.241,,,,,2.134,FIX,2021-06-01 12:13:23.0 UTC-04:00,2021-06-01 12:13:23.0 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2727.818
